customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0080,Male,1,No,No,40,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,73.21094258512457,8163.286810696966,No
CUST0081,Female,0,No,No,21,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.405839324504747,2419.2228661821355,No
CUST0082,Male,1,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No,One year,No,Mailed check,99.03479527924786,7869.503748226205,Yes
CUST0083,Female,0,Yes,No,27,Yes,No phone service,No,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),76.04649711314536,5716.944471280097,No
CUST0084,Male,0,Yes,No,66,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No internet service,No internet service,Two year,No,Mailed check,45.78692805847037,4734.236727315468,No
CUST0085,Male,1,No,Yes,70,Yes,No phone service,No,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,62.497503895783765,3530.6270431043135,Yes
CUST0086,Female,0,No,No,13,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),111.82781506955871,2204.736641682987,Yes
CUST0087,Male,0,Yes,No,72,Yes,No,No,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),96.59505879060522,3478.3131256163188,No
CUST0088,Female,0,No,No,51,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),71.69616168910454,5684.068816949494,Yes
CUST0089,Female,0,No,No,42,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,98.75698491984065,3163.9526257486577,No
CUST0090,Female,0,Yes,No,70,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,Yes,No internet service,One year,Yes,Mailed check,21.32569593608379,3073.1957842409156,No
CUST0091,Female,0,Yes,No,18,Yes,No phone service,DSL,No internet service,Yes,No,No,No internet service,No internet service,Two year,No,Credit card (automatic),108.4038004749344,4734.749444472324,No
CUST0092,Female,1,Yes,Yes,26,Yes,No,DSL,No,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),93.82408984036871,411.1682296523994,No
CUST0093,Female,1,Yes,Yes,17,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,98.30020629939442,5321.167193180151,Yes
CUST0094,Female,0,Yes,Yes,12,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),72.156773844419,2553.852504510905,Yes
CUST0095,Female,0,Yes,No,0,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,88.09035494583763,4283.007312322773,Yes
CUST0096,Female,0,Yes,No,33,Yes,No,No,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),82.76100124637605,7204.826631391867,No
CUST0097,Female,0,Yes,No,12,Yes,Yes,DSL,No,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),99.96868183581745,6885.474432597184,No
CUST0098,Female,1,Yes,No,50,Yes,No,Fiber optic,No,Yes,No internet service,No,No,No internet service,Two year,Yes,Bank transfer (automatic),89.06206059151693,2546.6721691697403,No
CUST0099,Male,0,Yes,No,0,No,Yes,Fiber optic,No,Yes,No,No internet service,No internet service,No,One year,No,Credit card (automatic),68.77916239928209,454.7201099531335,No
CUST0100,Male,0,No,No,27,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No,Yes,One year,Yes,Credit card (automatic),26.798862348625022,3297.998950186001,No
CUST0101,Female,0,No,No,31,Yes,Yes,No,Yes,No internet service,No,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),118.15271441249524,1035.3305439290132,No
CUST0102,Female,0,Yes,Yes,71,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,53.64569743926232,3763.8687645294417,No
CUST0103,Female,0,No,No,54,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,94.67272937826347,7193.639150259159,No
CUST0104,Female,0,No,No,25,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,No internet service,Month-to-month,No,Electronic check,79.67003524861963,2825.5572657774073,Yes
CUST0105,Female,0,No,Yes,13,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),116.515781181755,7060.567929131625,Yes
CUST0106,Female,0,No,No,67,Yes,No phone service,No,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Mailed check,115.11569806291865,8416.272231971372,No
CUST0107,Female,0,No,No,62,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),61.919256416538055,5894.1474243946495,No
CUST0108,Female,0,No,Yes,13,Yes,No phone service,DSL,No,Yes,No,No,No internet service,Yes,Two year,Yes,Credit card (automatic),103.89673241875931,7383.144095433697,No
CUST0109,Male,0,Yes,Yes,26,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),30.34802984009231,7321.813507914588,No
CUST0110,Female,0,Yes,Yes,40,Yes,No phone service,DSL,Yes,Yes,No,No,No internet service,No,One year,No,Electronic check,39.4985166406001,190.7120566546922,No
CUST0111,Male,0,No,No,2,Yes,No phone service,No,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),75.86957760171222,5757.30986508233,Yes
CUST0112,Female,0,No,No,58,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),39.556873760861436,6699.483322868288,No
CUST0113,Female,0,Yes,No,22,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No internet service,No,Month-to-month,No,Mailed check,30.20087659819682,3868.162902721929,No
CUST0114,Male,0,No,No,17,Yes,No,DSL,No,No internet service,No internet service,No,No,Yes,One year,Yes,Bank transfer (automatic),38.640550278302435,7348.945448784054,No
CUST0115,Female,1,No,No,40,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),51.6547162539572,5773.68618485187,Yes
CUST0116,Male,1,No,No,7,Yes,Yes,DSL,No,No,No,Yes,Yes,No internet service,Two year,No,Electronic check,116.99584618272182,5953.657528533695,Yes
CUST0117,Female,0,No,No,31,Yes,Yes,DSL,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),27.086371797854085,3553.296943550393,Yes
CUST0118,Female,1,No,No,40,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,26.835097223018895,7677.669004220248,No
CUST0119,Male,0,Yes,No,44,No,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.656204644351437,3302.5370486183156,No
CUST0120,Female,0,Yes,No,8,No,No phone service,Fiber optic,No,No,No,No,No internet service,Yes,One year,No,Credit card (automatic),42.29988822569642,1289.388004929937,No
CUST0121,Male,0,No,No,47,Yes,Yes,No,No,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.48180217159738,2741.9303535895397,No
CUST0122,Female,0,Yes,No,23,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.68601334924988,3496.932111309118,Yes
CUST0123,Male,0,No,Yes,43,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,62.98190718674406,6540.37577749847,No
CUST0124,Male,0,No,Yes,57,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,99.11380155858718,773.0527680752921,No
CUST0125,Female,0,No,No,65,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,No,No internet service,Two year,Yes,Electronic check,28.257787270969594,5724.887546797375,No
CUST0126,Female,0,No,Yes,17,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,28.888787892037712,4457.525646880975,No
CUST0127,Male,0,No,No,28,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),99.79800339305137,2761.021761333868,No
CUST0128,Female,1,No,No,1,Yes,Yes,No,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Mailed check,51.1685992443206,3441.333259890038,Yes
CUST0129,Female,0,No,Yes,67,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,No,Two year,No,Credit card (automatic),68.52283706775125,6070.272134225268,No
CUST0130,Female,0,No,Yes,38,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),96.73271654782498,5229.64115832657,Yes
CUST0131,Male,0,No,Yes,72,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No internet service,No internet service,Two year,Yes,Electronic check,59.335766554562724,637.4000648939755,No
CUST0132,Male,0,Yes,Yes,40,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.240098463684706,879.1717071968769,No
CUST0133,Male,0,No,No,70,Yes,No,Fiber optic,Yes,No,No internet service,No,No,No,Two year,No,Credit card (automatic),60.07399690975748,6111.645092751139,No
CUST0134,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,107.34168980699187,7642.6995115843965,No
CUST0135,Male,0,Yes,No,48,Yes,Yes,DSL,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.558564745955422,1414.0092573840882,No
CUST0136,Male,0,No,No,27,Yes,No,No,No,No,No,Yes,No internet service,No,One year,No,Mailed check,86.20830547810279,5177.2555525454945,No
CUST0137,Male,0,Yes,No,15,Yes,No,DSL,Yes,Yes,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,68.22462561428772,1804.2845774072714,No
CUST0138,Male,0,No,No,67,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),71.7108309429743,8550.399943507096,No
CUST0139,Male,0,No,No,61,Yes,No,DSL,Yes,No,No internet service,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),101.67024694507049,5462.836764348403,Yes
CUST0140,Female,0,No,No,35,No,No phone service,Fiber optic,No internet service,No,Yes,Yes,No internet service,No internet service,Two year,No,Electronic check,97.22830709283339,7096.4582677397075,No
CUST0141,Male,0,No,Yes,21,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),117.23822032931949,2529.7337683130672,No
CUST0142,Female,0,Yes,Yes,10,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),35.15316404705639,2951.1568513962325,No
CUST0143,Female,1,Yes,Yes,41,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),43.749899761100195,1281.6393470629566,No
CUST0144,Female,1,No,Yes,54,No,No,Fiber optic,Yes,No,No internet service,No,Yes,Yes,One year,Yes,Credit card (automatic),93.28846058686656,5907.954685348238,No
CUST0145,Male,1,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Mailed check,102.59065131329059,8524.592582749548,No
CUST0146,Male,0,Yes,Yes,34,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),100.86125749221773,4269.120151528769,No
CUST0147,Male,0,Yes,No,56,Yes,No phone service,No,No internet service,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),64.13595610670855,854.5346235633995,No
CUST0148,Male,0,No,No,33,Yes,No,No,Yes,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),29.103204401814672,133.78553733507823,No
CUST0149,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),55.11883289043857,6158.31666845235,No
CUST0150,Male,0,Yes,No,69,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,46.4337106376673,1571.8094646074169,No
CUST0151,Male,0,Yes,Yes,3,Yes,Yes,No,No,No,No internet service,No,No internet service,No internet service,One year,No,Credit card (automatic),69.58478066567838,8115.555196002783,No
CUST0152,Male,1,No,No,45,Yes,No phone service,No,No,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),34.779252799650365,6380.675512153338,No
CUST0153,Male,0,Yes,Yes,10,Yes,No,Fiber optic,No internet service,No,No,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),82.4791250830207,1638.982875747359,No
